ID,time,SID,lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,pm25
35,1/5/2020,300,21.023532,105.853941,4.8650875,4.113763332,132.0441589,21.7149868,26.01998329,19.60997963,1.0625,82.32500458,101532.3359,35.33333333
36,1/6/2020,19,21.04975,105.74187,5.922647,4.533224583,154.4524384,23.46374321,27.2199955,20.15999794,0.375,73.78749847,101407.7891,55.61583333
37,1/6/2020,51,21.2003445,105.9485439,6.696101,4.026901722,152.2497406,22.87373924,27.23998451,19.70998573,0.4375,74.73750305,101419.5938,42.524975
38,1/6/2020,52,21.1232473,106.2883295,5.527568,3.99156785,150.2387085,22.91749382,26.93999672,19.78499794,0.34375,74.23750305,101429.4844,34.52324167
39,1/6/2020,53,21.1527453,106.111371,5.5352697,3.992630959,152.2108765,22.85386467,27.20298576,19.68898582,0.425,74.70999908,101413.9766,37.79754167
40,1/6/2020,62,21.1518069,106.1518796,5.995299,3.684193611,151.8611755,22.6749897,26.8699894,19.49999428,0.3125,74.46250153,101363.3906,39.57423478
41,1/6/2020,66,21.1638526,105.9235646,6.0008135,4.026901722,152.2497406,22.87373924,27.23998451,19.70998573,0.4375,74.73750305,101419.5938,68.87645833
42,1/6/2020,71,21.0272212,106.0342099,4.7475653,3.892753124,154.1672668,23.09124565,27.15999794,20.18999672,0.3125,75.67500305,101456.7891,38.9408125
43,1/6/2020,79,21.01525,105.80013,4.3072305,4.533224583,154.4524384,23.46374321,27.2199955,20.15999794,0.375,73.78749847,101407.7891,44.66833333
44,1/6/2020,155,21.1137452,105.9268934,5.2229247,3.906167984,153.9755096,23.06949425,27.16799736,20.14199638,0.325,75.58125305,101453.0703,48.43381667
45,1/6/2020,156,21.127574,105.9508299,5.7695165,3.959827423,153.2084961,22.98249245,27.19999123,19.94999123,0.375,75.20625305,101438.1875,45.08904583
46,1/6/2020,157,21.1277395,105.8895444,5.4764967,3.978466749,152.9064789,23.00705528,27.19199181,19.95199203,0.3875,75.16062927,101420.7891,34.18255833
47,1/6/2020,158,21.1560765,106.2223111,4.7100043,3.684193611,151.8611755,22.6749897,26.8699894,19.49999428,0.3125,74.46250153,101363.3906,32.5608375
48,1/6/2020,159,21.0377269,106.1468067,5.693217,4.298942089,148.6162415,23.15999794,27.01000404,20.0700016,0.375,74.01249695,101495.5859,33.68840833
49,1/6/2020,160,21.0353984,106.1025755,5.765338,3.892753124,154.1672668,23.09124565,27.15999794,20.18999672,0.3125,75.67500305,101456.7891,35.3353375
50,1/6/2020,162,21.089142,105.990311,5.6517334,3.892753124,154.1672668,23.09124565,27.15999794,20.18999672,0.3125,75.67500305,101456.7891,36.81530833
51,1/6/2020,163,21.0243474,106.0172877,4.988467,3.892753124,154.1672668,23.09124565,27.15999794,20.18999672,0.3125,75.67500305,101456.7891,36.5650625
52,1/6/2020,300,21.023532,105.853941,4.8650875,4.533224583,154.4524384,23.46374321,27.2199955,20.15999794,0.375,73.78749847,101407.7891,36.91666667
53,1/7/2020,19,21.04975,105.74187,5.922647,1.623922706,132.8789063,22.85499382,26.26000404,20.15999794,0.1875,77.67500305,101422.5,69.51958333
54,1/7/2020,51,21.2003445,105.9485439,6.696101,1.680420756,116.3172607,22.2599926,25.64998817,19.42000771,0.25,78.52500153,101425.8984,66.2124875
